VERSION = 2.0
UUNITS = MILLIMETERS

#    refdes          !   symbol_x !   symbol_y ! rotation ! mirror ! symbol_name                      ! embedded_layer                  
#-----------------------------------------------------------------------------------------------------------------------
S5                   !    90.0176 !   107.9500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S50                  !   208.8896 !    31.7500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S51                  !    13.9598 !    12.7000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S52                  !    32.9590 !    12.7000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S53                  !    51.9786 !    12.7000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S54                  !    70.9981 !    12.7000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S55                  !   139.9438 !    12.7000 !        0 !        ! MX-SERIES-SW-1-POLE-6P25U        !                                 
S56                  !   208.8896 !    12.7000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S57                  !   204.1347 !   107.9500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S58                  !   223.1542 !   107.9500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S59                  !   242.1738 !   107.9500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S6                   !   109.0371 !   107.9500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S60                  !   265.9482 !   107.9500 !        0 !        ! MX-SERIES-SW-1-POLE-1P5U         !                                 
S61                  !   204.1347 !    88.9000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S94                  !   320.1619 !    12.7000 !        0 !        ! MX-SERIES-SW-1-POLE-2U           !                                 
S62                  !   223.1542 !    88.9000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S68                  !   367.7107 !    88.9000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S63                  !   242.1738 !    88.9000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S64                  !   265.9482 !    88.9000 !        0 !        ! MX-SERIES-SW-1-POLE-1P5U         !                                 
S65                  !   310.6522 !    88.9000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S66                  !   329.6717 !    88.9000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S67                  !   348.6912 !    88.9000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S7                   !   128.0566 !   107.9500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S70                  !   232.6640 !    69.8500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S71                  !   251.6835 !    69.8500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S72                  !   270.7030 !    69.8500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S76                  !   367.7107 !    60.3250 !        0 !        ! MX-SERIES-SW-1-POLE-2U-VERT      !                                 
S77                  !   218.3994 !    50.8000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S78                  !   237.4189 !    50.8000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S8                   !   147.0762 !   107.9500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S83                  !   227.9091 !    31.7500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S9                   !   166.0957 !   107.9500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S95                  !   348.6912 !    12.7000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
C2                   !   374.0506 !   125.4125 !      180 !        ! CAPC17595_90N_KEM-L              !                                 
C1                   !   375.4704 !   112.7125 !      180 !        ! CAPC17595_90N_KEM-L              !                                 
C9                   !    97.5462 !   128.5773 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
C13                  !   171.3001 !   128.5748 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
C14                  !   183.6852 !   128.5748 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
C12                  !   152.3517 !   128.5773 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
C16                  !   211.0565 !   128.5875 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
C17                  !   223.2335 !   128.5875 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
C15                  !   199.2046 !   128.5773 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
C18                  !   235.9076 !   128.5748 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
C19                  !   247.7872 !   128.5748 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
C3                   !   366.0597 !   123.5075 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
